,Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total,Round
450,ANAND RAO,Independent,13,1,14,9
451,MACHCHERLA VENKAT REDDY,Independent,17,1,18,9
452,MOHAMMED AKBARUDDIN,Independent,41,4,45,9
453,MOHAMMED ISMAIL KHAN,Independent,20,1,21,9
454,VANAPARTHY RAMBABU,Independent,31,3,34,9
455,SHAIK KAREEM,Independent,52,5,57,9
456,SHAIK SHAREEF,Independent,67,3,70,9
457,SIDDHARTHA CHAKRAVARTHY,Independent,37,7,44,9
458,SURABHI SINGH,Independent,66,4,70,9
459,SHIV SHANKAR REDDY.S,Independent,48,3,51,9
460,NOTA,None of the Above,383,75,458,9
461,,Total,57488,6819,64307,9
462,KONETI SUJATHA,Bahujan Samaj Party,421,53,474,14
463,MAGANTI GOPINATH,Bharat Rashtra Samithi,38372,2702,41074,14
464,MOHAMMED AZHARUDDIN,Indian National Congress,33151,2279,35430,14
465,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5841,43,5884,14
466,LANKALA DEEPAK REDDY,Bharatiya Janata Party,12174,1097,13271,14
467,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,103,3,106,14
468,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,446,23,469,14
469,M.PRASUNAMBA,Navarang Congress Party,56,0,56,14
470,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,25,3,28,14
471,ANAND RAO,Independent,23,5,28,14
472,MACHCHERLA VENKAT REDDY,Independent,30,8,38,14
473,MOHAMMED AKBARUDDIN,Independent,54,3,57,14
474,MOHAMMED ISMAIL KHAN,Independent,30,2,32,14
475,VANAPARTHY RAMBABU,Independent,56,6,62,14
476,SHAIK KAREEM,Independent,103,5,108,14
477,SHAIK SHAREEF,Independent,104,8,112,14
478,SIDDHARTHA CHAKRAVARTHY,Independent,70,5,75,14
479,SURABHI SINGH,Independent,100,4,104,14
480,SHIV SHANKAR REDDY.S,Independent,73,6,79,14
481,NOTA,None of the Above,632,55,687,14
482,,Total,91864,6310,98174,14
483,KONETI SUJATHA,Bahujan Samaj Party,365,56,421,13
484,MAGANTI GOPINATH,Bharat Rashtra Samithi,34869,3503,38372,13
485,MOHAMMED AZHARUDDIN,Indian National Congress,30435,2716,33151,13
486,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5686,155,5841,13
487,LANKALA DEEPAK REDDY,Bharatiya Janata Party,11431,743,12174,13
488,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,97,6,103,13
489,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,405,41,446,13
490,M.PRASUNAMBA,Navarang Congress Party,46,10,56,13
491,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,24,1,25,13
492,ANAND RAO,Independent,18,5,23,13
493,MACHCHERLA VENKAT REDDY,Independent,27,3,30,13
494,MOHAMMED AKBARUDDIN,Independent,52,2,54,13
495,MOHAMMED ISMAIL KHAN,Independent,25,5,30,13
496,VANAPARTHY RAMBABU,Independent,50,6,56,13
497,SHAIK KAREEM,Independent,88,15,103,13
498,SHAIK SHAREEF,Independent,93,11,104,13
499,SIDDHARTHA CHAKRAVARTHY,Independent,67,3,70,13
500,SURABHI SINGH,Independent,95,5,100,13
501,SHIV SHANKAR REDDY.S,Independent,67,6,73,13
502,NOTA,None of the Above,594,38,632,13
503,,Total,84534,7330,91864,13
504,KONETI SUJATHA,Bahujan Samaj Party,264,30,294,10
505,MAGANTI GOPINATH,Bharat Rashtra Samithi,24799,2772,27571,10
506,MOHAMMED AZHARUDDIN,Indian National Congress,23652,2271,25923,10
507,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5274,63,5337,10
